Duck Hunt	1985
Duck Maze	1990
DuckTales	1989
DuckTales 2	1993
Dudes with Attitude	1990
Dungeon Magic: Sword of the Elements	1990
Dusty Diamond's All-Star Softball	1990
Dynowarz: The Destruction of Spondylus	1989
Elevator Action	1987
Eliminator Boat Duel	1991
Elite	1991
Evert and Lendl Top Players' Tennis	1990
Excitebike	1985
Exodus	1990
F-1 Sensation	1993
F-117A Stealth Fighter	1992
F-15 City Wars	1990
F-15 Strike Eagle	1992
Family Feud	1991
The Fantastic Adventures of Dizzy	1993
Fantasy Zone	1989
Faria: A World of Mystery and Danger	1991
Faxanadu	1989
Felix the Cat	1992
Ferrari Grand Prix Challenge	1992
Fester's Quest	1989
Final Fantasy	1990
Fire 'n Ice	1993
Firehawk	1989
Fisher-Price: Firehouse Rescue	1992
Fisher-Price: I Can Remember	1990
Fisher-Price: Perfect Fit	1990
Fist of the North Star	1989
Flight of the Intruder	1991
The Flintstones: The Rescue of Dino and Hoppy	1991
The Flintstones: Surprise at Dinosaur Peak	1994
Flying Dragon: The Secret Scroll	1989
Flying Warriors	1991
Formula One: Built to Win	1990
Frankenstein: The Monster Returns	1991
Freedom Force	1988
Free Fun Golf	1990
Friday the 13th	1989
Fun House	1991
G.I. Joe	1991
G.I. Joe: The Atlantis Factor	1992
Galactic Crusader	1990
Galaga	1988
Galaxy 5000	1991
Gargoyle's Quest II: The Demon Darkness	1992
Gauntlet	1987
Gauntlet II	1990
Gemfire	1992
Genghis Khan	1990
George Foreman's KO Boxing	1992
Ghostbusters	1988
Ghostbusters II	1990
Ghosts 'n Goblins	1986
Ghoul School	1992
Goal!	1989
Goal! Two	1992
Godzilla: Monster of Monsters	1989
Godzilla 2: War of the Monsters	1992
Gold Medal Challenge 92	1992
Golf	1985
Golf Grand Slam	1991
Golgo 13: Top Secret Episode	1988
The Goonies II	1987
Gotcha! The Sport!	1987
Gradius	1986
The Great Waldo Search	1992
Greg Norman's Golf Power	1992
Gremlins 2: The New Batch	1990
The Guardian Legend	1989
Guerrilla War	1989
Gumshoe	1986
Gun Nac	1991
Gun.Smoke	1988
Gyromite	1985
Gyruss	1989
Hammerin' Harry	1992
Harlem Globetrotters	1991
Hatris	1992
Heavy Barrel	1990
Heavy Shreddin'	1990
High Speed	1991
Hogan's Alley	1985
Hollywood Squares	1989
Home Alone	1991
Home Alone 2	1992
Hook	1992
Hoops	1989
Hot Slots	1991
Hudson Hawk	1992
The Hunt for Red October	1991
Hydlide	1989
Ice Climber	1985
Ice Hockey	1988
Ikari Warriors	1987
Ikari Warriors II: Victory Road	1988
Ikari Warriors III: The Rescue	1991
Image Fight	1990
The Immortal	1990
Impossible Mission-II	1989
The Incredible Crash Dummies	1994
Indiana Jones and the Last Crusade	1991
